DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2013/11/04 14:39:33.99,8.9963,-40.4863,15.64,5.00,Mb,,76,13,0.62,us,201311042027
2013/11/05 01:47:13.07,-6.0425,146.6112,59.46,5.10,Mb,,17,3,0.86,us,201311052002
2013/11/05 18:17:01.01,-15.2227,-174.9368,287.40,5.00,Mb,,51,3,0.85,us,201311052061
2013/11/05 20:47:06.51,1.8252,89.6563,9.66,5.10,Mw,,35,9,0.83,us,201311052063
2013/11/06 01:13:30.21,26.6205,128.9450,31.56,5.40,Mb,,42,1,0.67,us,201311062002
2013/11/06 04:16:16.06,26.4118,93.6451,34.32,5.40,Mb,,25,2,0.96,us,201311062005
2013/11/07 10:47:35.64,-1.7668,138.7769,33.57,5.20,Mb,,24,2,1.00,us,201311072029
2013/11/07 16:46:34.71,-22.3240,171.5445,98.00,5.70,Mw,,24,5,0.80,us,201311072042
2013/11/07 17:01:06.00,-37.2560,-74.3270,21.60,5.10,Mb,,,,1.93,guc,201311072043
2013/11/07 20:13:53.77,-6.4618,154.8867,61.80,5.40,Mw,,51,6,0.73,us,201311072057
2013/11/08 09:51:01.51,-1.1873,67.6827,10.00,5.50,Mw,,33,6,0.94,us,201311082027
2013/11/08 11:44:56.15,50.0390,-130.1887,10.00,5.00,Mw,,,,0.97,pgc,201311082035
2013/11/09 00:20:45.84,8.0732,137.5572,27.36,5.20,Mb,,20,9,0.77,us,201311092001
2013/11/09 03:45:13.88,-12.0269,167.1235,10.91,5.50,Mw,,43,8,0.74,us,201311092011
2013/11/09 10:58:20.43,-7.0007,129.2612,152.84,5.00,Mb,,23,6,0.81,us,201311092022
2013/11/09 14:53:26.60,-28.3173,-176.7731,10.00,5.50,Mw,,65,10,0.98,us,201311092029
2013/11/09 22:37:50.39,35.9186,140.0169,64.53,5.60,Mw,,41,1,1.06,us,201311092047
2013/11/10 05:15:10.96,38.4097,68.8901,22.96,5.20,Mb,,24,2,0.94,us,201311102014
2013/11/10 21:13:49.55,-54.9278,-130.5733,10.00,5.60,Mw,,22,31,0.75,us,201311102042
2013/11/11 04:55:09.67,24.8844,123.1619,124.08,5.00,Mb,,71,0,0.96,us,201311112012
2013/11/11 14:00:07.86,1.8458,126.5666,23.98,5.00,Mb,,52,1,0.79,us,201311112038
2013/11/12 07:03:51.09,54.6859,162.3024,43.00,6.40,Mw,,20,3,0.87,us,201311122024
2013/11/12 09:59:17.67,31.7694,-40.5237,10.00,5.00,Mb,,56,21,0.40,us,201311122031
2013/11/12 10:41:04.98,31.7602,-40.4631,10.00,5.00,Mb,,54,21,0.46,us,201311122034
2013/11/12 15:59:44.59,31.7461,-40.5326,10.00,5.10,Mb,,56,21,0.59,us,201311122052
2013/11/12 18:16:48.00,63.0663,-150.9077,131.40,5.00,Mb,,,,1.22,ak,201311122064
2013/11/12 20:00:20.58,-7.1957,156.1274,67.87,5.10,Mb,,67,4,0.95,us,201311122068
2013/11/13 01:51:15.33,2.4750,90.0985,13.67,5.00,Mb,,79,7,0.85,us,201311132004
2013/11/13 03:57:40.08,51.5250,-178.9899,20.00,5.80,Mw,,33,0,0.93,us,201311132010
2013/11/13 23:45:47.93,-60.2814,-47.1233,11.07,6.10,Mw,,23,8,1.19,us,201311132082
2013/11/15 02:00:33.99,41.4311,142.1832,46.00,5.50,Mw,,38,1,0.79,us,201311152006
2013/11/15 03:35:16.71,51.4634,-178.9014,25.29,5.30,Mw,,31,0,0.83,us,201311152009
2013/11/15 15:43:08.18,5.3940,94.4584,47.72,5.00,Mb,,54,2,1.02,us,201311152041
2013/11/15 18:57:55.18,28.9198,129.6623,56.20,5.20,Mw,,29,2,0.82,us,201311152050
2013/11/15 19:39:18.35,24.0755,122.4651,26.25,5.00,Mb,,49,1,0.83,us,201311152052
2013/11/16 03:34:31.23,-60.2627,-47.0621,9.97,6.90,Mw,,17,8,0.84,us,201311162014
2013/11/16 03:37:17.78,-60.2836,-46.7083,10.05,5.40,Mb,,40,8,0.70,us,201311162015
2013/11/16 04:45:33.02,-60.3443,-47.2097,10.01,5.20,Mb,,54,8,1.16,us,201311162030
2013/11/16 05:54:36.95,39.3067,142.0954,51.18,5.00,Mb,,116,3,1.26,us,201311162037
2013/11/16 08:18:11.97,-60.3140,-46.5920,10.00,5.00,Mb,,52,8,1.01,us,201311162046
2013/11/16 08:35:05.41,-60.3487,-46.3506,10.00,5.10,Ms,,24,8,1.03,us,201311162047
2013/11/16 09:35:46.21,-60.2942,-46.4266,10.28,5.50,Mw,,29,8,0.96,us,201311162048
2013/11/16 10:26:43.29,4.2077,90.0652,10.01,5.70,Mw,,43,7,0.78,us,201311162055
2013/11/16 10:31:26.42,23.5155,143.2122,38.00,5.30,Mb,,60,4,0.71,us,201311162056
2013/11/16 11:44:41.34,35.6039,140.1529,59.40,5.50,Mw,,40,2,0.89,us,201311162062
2013/11/16 15:00:12.51,-60.3474,-46.3687,10.00,5.10,Mb,,41,8,0.91,us,201311162071
2013/11/17 09:04:55.53,-60.2738,-46.4011,10.00,7.70,Mw,,23,8,1.33,us,201311172016
2013/11/17 09:11:01.55,-60.4778,-45.2114,15.57,5.80,Mb,,58,8,0.93,us,201311172017
2013/11/17 09:12:17.37,-60.5715,-45.4035,13.07,5.10,Mb,,118,8,0.48,us,201311172018
2013/11/17 09:13:01.17,-60.6391,-45.9526,10.00,5.30,Mb,,97,11,0.90,us,201311172019
2013/11/17 09:17:34.05,-60.2388,-47.1898,10.00,5.10,Mb,,116,8,1.36,us,201311172020
2013/11/17 09:19:56.32,-60.4291,-44.9238,14.60,5.20,Mb,,145,8,0.28,us,201311172022
2013/11/17 09:21:28.22,-60.2105,-46.7839,10.00,5.10,Mb,,55,8,1.30,us,201311172024
2013/11/17 09:33:32.10,-60.4754,-45.2019,18.89,5.20,Mb,,51,8,0.70,us,201311172032
2013/11/17 10:44:06.57,-60.4231,-44.8133,10.00,5.20,Mb,,48,8,1.06,us,201311172057
2013/11/17 11:13:01.73,-60.2964,-46.7021,10.00,5.20,Mb,,70,8,1.28,us,201311172067
2013/11/17 12:11:36.14,-60.5260,-44.3839,10.00,5.70,Mb,,26,8,0.97,us,201311172088
2013/11/17 12:45:24.85,-60.4037,-45.2308,10.00,5.20,Mb,,26,8,0.95,us,201311172099
2013/11/17 13:42:44.58,-60.3611,-45.0456,15.08,5.00,Mb,,49,8,0.60,us,201311172110
2013/11/17 14:24:09.32,-60.3355,-44.9984,18.91,5.00,Mb,,50,8,0.76,us,201311172119
2013/11/17 14:59:12.58,-60.4098,-42.8607,15.16,5.00,Mb,,44,7,1.20,us,201311172129
2013/11/17 17:37:14.11,-10.3290,-11.8343,10.00,5.50,Mb,,28,3,0.69,us,201311172161
2013/11/18 04:28:44.16,-60.5191,-43.0781,10.00,5.00,Mb,,55,7,1.07,us,201311182016
2013/11/18 05:41:43.29,-60.4852,-43.4202,15.61,5.20,Mb,,45,7,0.73,us,201311182024
2013/11/18 07:07:36.49,-60.5718,-42.6884,14.02,5.10,Mb,,66,7,0.62,us,201311182030
2013/11/18 15:53:01.71,-60.2643,-44.9959,14.56,5.00,Mb,,63,8,0.63,us,201311182061
2013/11/18 19:10:45.43,34.3343,137.0475,328.00,5.60,Mw,,19,1,0.75,us,201311182070
2013/11/18 21:31:09.87,-10.0548,123.7483,31.79,5.40,Mb,,27,0,1.45,us,201311182073
2013/11/18 22:23:28.35,-30.3601,-179.7054,334.53,5.10,Mb,,62,2,1.33,us,201311182075
2013/11/19 13:11:41.82,-15.0086,-174.0278,78.67,5.00,Mb,,115,2,0.66,us,201311192024
2013/11/19 13:32:53.73,2.6250,128.4462,59.77,6.00,Mw,,18,2,0.86,us,201311192026
2013/11/19 13:42:56.31,2.7622,128.6044,76.46,5.00,Mb,,140,2,1.10,us,201311192027
2013/11/19 15:16:48.04,8.9147,138.5332,10.00,5.90,Mw,,19,4,0.85,us,201311192035
2013/11/19 17:00:44.16,18.4753,145.2041,511.00,6.00,Mw,,10,2,1.05,us,201311192043
2013/11/19 20:22:43.75,1.2945,97.1165,16.42,5.10,Mb,,34,0,0.84,us,201311192058
2013/11/19 23:18:00.50,-63.2943,-164.9357,10.13,5.70,Mw,,78,17,0.89,us,201311192066
2013/11/20 03:57:04.00,-56.8648,-150.7008,10.00,5.10,Mb,,53,26,0.60,us,201311202009
2013/11/20 10:09:18.43,12.3975,95.1481,10.26,5.50,Mw,,32,7,0.86,us,201311202015
2013/11/22 03:17:05.65,46.4512,153.0688,11.00,5.30,Mw,,50,7,0.62,us,201311222002
2013/11/22 05:37:18.08,-0.1938,122.9498,92.72,5.20,Mb,,25,1,1.06,us,201311222007
2013/11/22 06:51:25.10,34.4571,45.4949,6.00,5.60,Mw,,33,1,1.49,us,201311222012
2013/11/22 15:06:01.45,-57.6807,-25.2371,10.00,5.30,Mb,,53,17,0.61,us,201311222031
2013/11/22 15:27:42.67,-5.1089,153.9102,124.24,5.20,Mb,,36,7,1.04,us,201311222033
2013/11/22 17:20:58.34,5.4216,92.8184,15.61,5.50,Mw,,22,4,0.84,us,201311222041
2013/11/22 18:30:58.06,34.3294,45.6866,14.00,5.60,Mw,,28,6,0.99,us,201311222046
2013/11/22 21:05:13.15,41.6623,137.8339,19.05,5.30,Mb,,36,4,0.64,us,201311222049
2013/11/22 22:04:25.32,44.5884,124.1520,10.00,5.30,Mw,,26,4,0.85,us,201311222050
2013/11/23 07:48:32.12,-17.1137,-176.5416,371.00,6.50,Mw,,22,5,0.82,us,201311232024
2013/11/23 23:26:20.57,34.2277,45.6673,10.03,5.20,Mb,,34,6,0.79,us,201311232057
2013/11/23 23:30:42.55,36.5757,86.8448,7.18,5.40,Mw,,26,7,0.73,us,201311232058
2013/11/24 08:47:50.46,-24.4656,179.2590,531.26,5.10,Mb,,39,5,1.36,us,201311242014
2013/11/24 10:20:28.39,52.0925,142.1687,12.08,5.00,Mb,,79,5,0.75,us,201311242019
2013/11/24 11:09:59.27,-21.6802,-179.3221,596.20,5.10,Mb,,18,5,0.85,us,201311242021
2013/11/24 14:14:54.95,-10.1744,160.9951,52.69,5.00,Mb,,100,1,0.82,us,201311242026
2013/11/24 16:06:22.39,55.5818,161.6071,70.98,5.00,Mb,,69,3,0.77,us,201311242031
2013/11/24 18:03:13.03,34.1438,45.6274,10.78,5.00,Mb,,48,6,1.10,us,201311242039
2013/11/24 18:05:41.67,34.1765,45.6171,14.00,5.40,Mw,,46,6,1.21,us,201311242040
2013/11/24 20:49:37.90,40.7900,31.8600,7.00,5.20,Mb,,,,0.74,isk,201311242047
2013/11/24 22:04:12.74,-25.4721,69.9995,10.10,5.10,Mb,,47,22,0.70,us,201311242050
2013/11/25 03:23:56.41,45.9418,141.7597,30.52,5.50,Mb,,60,1,0.88,us,201311252003
2013/11/25 05:10:09.95,-54.0695,-54.8261,14.90,5.10,Mb,,91,3,0.67,us,201311252005
2013/11/25 05:56:49.65,45.5997,150.8843,31.15,5.80,Mw,,52,6,0.91,us,201311252006
2013/11/25 06:27:09.59,-53.9618,-54.8938,11.94,5.60,Mb,,71,3,0.95,us,201311252007
2013/11/25 06:27:33.99,-53.8813,-54.8821,10.00,7.00,Mw,,31,3,1.11,us,201311252008
2013/11/25 06:41:50.68,-54.2308,-55.1493,14.30,5.40,Mb,,98,3,0.56,us,201311252009
2013/11/25 07:21:18.40,-53.8374,-53.7997,10.00,5.50,Mb,,73,3,0.86,us,201311252010
2013/11/25 15:43:02.49,38.4840,141.9438,53.00,5.00,Mb,,92,4,1.07,us,201311252029
2013/11/25 20:06:55.05,-12.6445,-76.1494,74.04,5.50,Mb,,69,1,0.81,us,201311252032
2013/11/26 08:11:25.39,51.5190,-174.4250,42.20,5.00,Mb,,,,0.69,ak,201311262022
2013/11/26 14:30:28.42,-5.8261,150.7634,61.17,5.50,Mw,,22,5,1.10,us,201311262032
2013/11/27 14:26:48.44,-25.3411,69.7898,16.00,5.20,Mb,,55,22,1.10,us,201311272014
2013/11/27 17:35:19.28,-25.5435,70.0556,10.00,5.00,Mb,,122,40,0.61,us,201311272021
2013/11/27 17:45:51.47,42.0935,141.4113,96.48,5.00,Mb,,57,1,0.68,us,201311272022
2013/11/28 13:51:36.60,29.3632,51.3142,16.43,5.60,Mb,,41,6,1.08,us,201311282009
2013/11/28 15:44:04.69,-25.3090,69.9102,15.57,5.10,Mb,,66,14,0.73,us,201311282014
2013/11/28 16:02:54.06,0.2633,98.5621,51.41,5.10,Mb,,29,1,1.03,us,201311282017
2013/11/28 16:15:05.97,35.5916,139.9781,71.44,5.00,Mb,,84,2,0.68,us,201311282019
2013/11/28 16:39:10.81,-12.2446,166.8733,221.69,5.10,Mb,,30,7,0.63,us,201311282020
